ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2021-0016,1,2021-02-14,05:50:00,2021,2,14,5,DOMINGO,NOCHE,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.47230127,-34.68482689
2021-0017,1,2021-02-17,04:10:00,2021,2,17,4,MIERCOLES,NOCHE,SALTA Y CASEROS AV.,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38262614,-34.63168269
2021-0018,1,2021-02-20,19:00:00,2021,2,20,19,SABADO,NOCHE,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,3,PEATON-AUTO,PEATON,AUTO,-58.41047268,-34.60793518
2021-0019,1,2021-02-21,01:20:00,2021,2,21,1,DOMINGO,NOCHE,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.49659234,-34.56353635
2021-0020,1,2021-02-21,15:00:00,2021,2,21,15,DOMINGO,DIA,POTOSI Y GASCON,CALLE,5,PEATON-CARGAS,PEATON,CARGAS,-58.42462955,-34.60727189
2021-0021,1,2021-02-26,05:30:00,2021,2,26,5,VIERNES,NOCHE,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,3,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.41168345,-34.61185625
2021-0022,1,2021-02-28,12:00:00,2021,2,28,12,DOMINGO,DIA,DEL LIBERTADOR AV. Y ROOSEVELT FRANKLIN D.,AVENIDA,13,PASAJEROS-SD,PASAJEROS,SD,-58.45157681,-34.55217303
2021-0023,1,2021-03-01,09:20:00,2021,3,1,9,LUNES,DIA,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,4,MOTO-CARGAS,MOTO,CARGAS,-58.357611300391916,-34.62781954941036
2021-0024,1,2021-03-03,16:30:00,2021,3,3,16,MIERCOLES,DIA,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,9,BICICLETA-CARGAS,BICICLETA,CARGAS,-58.49573651,-34.67006054
2021-0025,1,2021-03-11,03:45:00,2021,3,11,3,JUEVES,NOCHE,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",AUTOPISTA,8,MOTO-OTRO,MOTO,OTRO,-58.48695354,-34.68795245
2021-0026,1,2021-03-15,02:35:00,2021,3,15,2,LUNES,NOCHE,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,4,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.37562539,-34.64449357
2021-0027,1,2021-03-16,15:30:00,2021,3,16,15,MARTES,DIA,"PAZ, GRAL. AV. y DONADO",AUTOPISTA,12,MOTO-CARGAS,MOTO,CARGAS,-58.49491054,-34.54795581
2021-0028,1,2021-03-29,17:20:00,2021,3,29,17,LUNES,DIA,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,7,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.44147621,-34.64357704
2021-0029,1,2021-03-31,18:05:00,2021,3,31,18,MIERCOLES,NOCHE,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,7,AUTO-AUTO,AUTO,AUTO,-58.46899119,-34.63215432
2021-0030,1,2021-04-03,18:30:00,2021,4,3,18,SABADO,NOCHE,FINOCHIETTO ENRIQUE DR. 1623,CALLE,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.38685612,-34.63455776
2021-0031,1,2021-04-07,10:29:00,2021,4,7,10,MIERCOLES,DIA,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,1,PEATON-CARGAS,PEATON,CARGAS,-58.38113667,-34.61765323
2021-0032,1,2021-04-10,19:55:00,2021,4,10,19,SABADO,NOCHE,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,13,PEATON-MOTO,PEATON,MOTO,-58.44112678,-34.54538956
2021-0033,1,2021-04-14,17:50:00,2021,4,14,17,MIERCOLES,DIA,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,5,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.41595919,-34.62743346
2021-0034,1,2021-04-19,14:40:00,2021,4,19,14,LUNES,DIA,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,4,MOTO-CARGAS,MOTO,CARGAS,-58.40184094,-34.64546845
2021-0035,1,2021-05-03,09:20:00,2021,5,3,9,LUNES,DIA,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,8,MOTO-CARGAS,MOTO,CARGAS,-58.44642231,-34.65679806
2021-0036,1,2021-05-09,06:00:00,2021,5,9,6,DOMINGO,DIA,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",AUTOPISTA,11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.52340614,-34.59798754
2021-0037,1,2021-05-11,07:10:00,2021,5,11,7,MARTES,DIA,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,13,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.46649069,-34.56219075
2021-0038,1,2021-05-14,11:40:00,2021,5,14,11,VIERNES,DIA,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,14,MOTO-CARGAS,MOTO,CARGAS,-58.42653328,-34.57816791
2021-0039,1,2021-05-15,12:09:00,2021,5,15,12,SABADO,DIA,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,9,BICICLETA-AUTO,BICICLETA,AUTO,-58.50407099,-34.65303372
2021-0040,1,2021-05-20,05:50:00,2021,5,20,5,JUEVES,NOCHE,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",AUTOPISTA,13,MOTO-AUTO,MOTO,AUTO,-58.46743471,-34.53476874
2021-0041,1,2021-05-20,08:30:00,2021,5,20,8,JUEVES,DIA,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,14,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.40986646,-34.5772806
2021-0042,1,2021-05-21,05:00:00,2021,5,21,5,VIERNES,NOCHE,RIVADAVIA AV. 10900,AVENIDA,9,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.51739138,-34.63931792
2021-0043,1,2021-05-22,18:26:00,2021,5,22,18,SABADO,NOCHE,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,9,PEATON-AUTO,PEATON,AUTO,-58.50719962,-34.65556223
