,ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
259,2017-0132,1,2017-10-30,14:00:00,2017,10,30,14,LUNES,DIA,COSQUIN Y AV. CNEL. ROCA,AVENIDA,8,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.46552171,-34.6937413,CONDUCTOR,MASCULINO,23,2017-10-30
260,2017-0134,1,2017-11-06,18:00:00,2017,11,6,18,LUNES,NOCHE,AV. CNEL. ROCA 3555,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.4423972,-34.66777987,PEATON,FEMENINO,47,2017-11-06
261,2017-0135,1,2017-11-07,12:14:10,2017,11,7,12,MARTES,DIA,AV. WARNES Y PUNTA ARENAS,AVENIDA,15,MOTO-CARGAS,MOTO,CARGAS,-58.47032551,-34.59626814,CONDUCTOR,MASCULINO,24,2017-11-07
262,2017-0136,1,2017-11-16,08:43:00,2017,11,16,8,JUEVES,DIA,DEL BARCO CENTENERA Y RABANAL,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.41827843,-34.65522746,PEATON,MASCULINO,55,2017-11-16
263,2017-0137,1,2017-11-17,11:45:00,2017,11,17,11,VIERNES,DIA,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,11,PEATON-CARGAS,PEATON,CARGAS,-58.51280715,-34.59279388,PEATON,FEMENINO,60,2017-11-17
264,2017-0138,1,2017-11-19,10:30:00,2017,11,19,10,DOMINGO,DIA,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.46258582,-34.64385704,PASAJERO_ACOMPAÑANTE,MASCULINO,25,2017-11-19
265,2017-0139,1,2017-11-19,22:30:00,2017,11,19,22,DOMINGO,NOCHE,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.45064148,-34.68003614,PASAJERO_ACOMPAÑANTE,FEMENINO,15,2017-11-19
266,2017-0140,1,2017-11-19,23:22:17,2017,11,19,23,DOMINGO,NOCHE,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,4,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.37892326254521,-34.62829725723556,CONDUCTOR,MASCULINO,24,2017-11-19
267,2017-0141,1,2017-11-23,19:45:00,2017,11,23,19,JUEVES,NOCHE,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,6,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.42717783,-34.62513374,PEATON,FEMENINO,22,2017-11-23
268,2017-0143,1,2017-11-25,21:45:00,2017,11,25,21,SABADO,NOCHE,TRELLES Y GRAL. CESAR DIAZ,CALLE,11,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.46442001,-34.60724519,CONDUCTOR,MASCULINO,50,2017-11-25
269,2017-0144,1,2017-11-26,06:45:00,2017,11,26,6,DOMINGO,DIA,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,AUTOPISTA,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.47064556,-34.69843756,PASAJERO_ACOMPAÑANTE,FEMENINO,50,2017-11-26
270,2017-0145,1,2017-11-26,17:05:00,2017,11,26,17,DOMINGO,DIA,MAZA Y DON BOSCO,CALLE,5,MOTO-AUTO,MOTO,AUTO,-58.41677733,-34.61223119,CONDUCTOR,MASCULINO,58,2017-11-26
271,2017-0147,1,2017-11-28,11:15:00,2017,11,28,11,MARTES,DIA,AV. GRAL. PAZ Y AV. EVA PERON,AUTOPISTA,9,MOTO-AUTO,MOTO,AUTO,-58.5025179,-34.67450313,CONDUCTOR,MASCULINO,49,2017-11-28
272,2017-0148,1,2017-11-29,10:45:00,2017,11,29,10,MIERCOLES,DIA,AV. SAN JUAN Y LA RIOJA,AVENIDA,3,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.40708125,-34.62438894,PEATON,FEMENINO,82,2017-11-29
273,2017-0149,1,2017-11-30,12:20:00,2017,11,30,12,JUEVES,DIA,AV. PASEO COLON Y MEXICO,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.36947198,-34.61477051,PEATON,MASCULINO,13,2017-11-30
274,2017-0150,1,2017-12-04,01:15:00,2017,12,4,1,LUNES,NOCHE,AV. RIVADAVIA Y MIRALLA,AVENIDA,9,PEATON-AUTO,PEATON,AUTO,-58.51140889,-34.63934531,PEATON,MASCULINO,56,2017-12-04
275,2017-0151,1,2017-12-04,02:15:00,2017,12,4,2,LUNES,NOCHE,VIEYTES Y LUJAN,CALLE,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.37460912,-34.65559133,PEATON,MASCULINO,,2017-12-04
276,2017-0152,1,2017-12-06,17:30:00,2017,12,6,17,MIERCOLES,DIA,CACHI Y TRAFUL,CALLE,4,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.41146277,-34.65073916,CICLISTA,MASCULINO,19,2017-12-06
277,2017-0153,2,2017-12-11,02:00:00,2017,12,11,2,LUNES,NOCHE,ROSARIO Y AV. LA PLATA,AVENIDA,6,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.42855267,-34.61829385,PASAJERO_ACOMPAÑANTE,MASCULINO,,2017-12-12
278,2017-0153,2,2017-12-11,02:00:00,2017,12,11,2,LUNES,NOCHE,ROSARIO Y AV. LA PLATA,AVENIDA,6,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.42855267,-34.61829385,CONDUCTOR,MASCULINO,30,2017-12-12
